# org-ja 翻訳用語集（2011-05-28）,
abbrev,略語
narrowing,ナローイング
nil,nil
node,ノード
noindent,noindent
note,ノート
notification facility,通知する機能
option,オプション
org,Org-mode
Org Mode Manual,Org Mode マニュアル
Org way,Org-mode流
org-mode,Org-mode
orgmode,Org-mode
orgtbl,orgtbl
outline,アウトライン|outline
outline mode,アウトラインモード
output,アウトプット
overview,概観
package,パッケージ
page,ページ
parameters,パラメーター
PDF export,PDFのエクスポート
plain,プレーン
plain list,プレーンリスト|単純なリスト
plain text,プレーンテキスト|単純なテキスト
planning,計画
point,ポイント
prefix,接頭辞
prefix arg,前置引数
prefix argment,前置引数
presentation,プレゼンテーション|表示
previous,前の
priorities,優先順位|プライオリティ
priority,優先順位|プライオリティ
processing,処理
progress,進行管理
progress logging,進行記録
project,プロジェクト
prompt,入力
properties and columns,プロパティとカラム
property,プロパティ
provide,用意する
publication,公開操作
publication commands,公開するのに使うコマンド
publish,公開
published,公開
publishing,公開
publishing configuration,公開用の設定
pxref,pxref
quote,引用
quoting,引用
radio,ラジオ
radio lists,ラジオリスト
recalculation,再計算
ref,ref
region,リージョン|領域
row,行
RSS feeds,RSSフィード
running,実行中の
samp,samp
sample,サンプル
schedule,スケジュール
scheduled,スケジューリングされる
scheduling,スケジューリング
search,検索
section,セクション
selecting,選択する
sending and receiving,送受信
sequence,順序
setq,setq
setting,設定
setting tags,タグの設定
setting the function doing the publishing,公開を行う関数の設定
setup,設定
sexp entries,Ｓ式項目
snippet,スニペット
sort,並び替え
sorting,並び替え
source,ソース
sparse tree,ツリーの抽出
specification,指定
specified keywords,指定したキーワード
stamp,スタンプ
stars,「＊」
STARTUP keyword,STARTUPキーワード
storing,保存
string,文字列
structure,構造
structure editing,構造の編集
stuck project,詳細が未決定のプロジェクト
sub,サブ|下位の階層の
subscripts,下付き文字
subsection,サブセクション
subtask,サブタスク
subtree,サブツリー
summary,概要
superscript,上付き文字
symbol,記号
syntactic sugar,糖衣構文（簡便な構文）
syntax,構文|シンタックス
system,システム
tab,TAB|タブ
table,テーブル
tag,タグ
tag inheritance,タグの継承
tag searches,タグの検索
tangle,tangle
task,タスク
template,テンプレート
tex,TeX
text,テキスト|文章
third party,サードパーティ
tick-off list,リストをチェックする
time,時刻|時間|回
time-of-day,時刻
time-sorted view,時間順のビュー
timeline,タイムライン
timer,タイマー
timestamp,タイムスタンプ
TODO items,TODOアイテム
TODO keywords,TODOキーワード
TODO states,TODOの状態
toggle,トグル
tracking,追跡
transient mark mode,transient-mark-mode
tree,ツリー
triggering,起動
triggering publication,公開操作の起動|公開の開始
tty,tty端末
tucking stuff away,いろいろなものを隠す
type,タイプ|入力する
unfinished action items,未完了のアクションアイテム
update,アップデート|更新
user,ユーザー
value,値
variable,変数
verbatim,文字通りな
version,バージョン
view,ビュー
vijibility cycling,表示の切り替え
visibility,表示
visible,表示
weekly,週の|1週の
weekly/daily agenda,1週間/1日のアジェンダ
width,幅
window,ウインドウ
work,作業
work time,作業時間
workflow,ワークフロー
working with source code,ソースコードとの連携
writing,書き出す
xref,xref
yank,ヤンク
